"","continent","location","total_cases_per_million","gdp_per_capita","human_development_index","partly_vacc"
"171","Africa","Rwanda",9719.341,1854.211,0.543,52.34
"172","Africa","Saint Helena",656.276,NA,NA,NA
"173","North America","Saint Kitts and Nevis",102099.13,24654.385,0.779,48.65
"174","North America","Saint Lucia",116046.008,12951.839,0.759,27.7
"175","North America","Saint Pierre and Miquelon",165136.025,NA,NA,NA
"176","North America","Saint Vincent and the Grenadines",71349.612,10727.146,0.738,24.62
"177","Oceania","Samoa",164.881,6021.557,0.715,62.25
"178","Europe","San Marino",391884.74,56861.47,NA,64.03
"179","Africa","Sao Tome and Principe",26445.622,3052.714,0.625,27.49
"180","Asia","Saudi Arabia",19780.859,49045.411,0.854,67.24
"181","Africa","Senegal",4949.725,2470.58,0.512,5.84
"182","Europe","Serbia",251833.539,14048.881,0.806,47.25
"183","Africa","Seychelles",381872.409,26382.287,0.796,79.46
"184","Africa","Sierra Leone",936.578,1390.3,0.452,8.51
"185","Asia","Singapore",67198.364,85535.383,0.938,87.77
"186","Europe","Slovakia",300949.118,30155.152,0.86,48.83
"187","Europe","Slovenia",366975.302,31400.84,0.917,58.33
"188","Oceania","Solomon Islands",3348.035,2205.923,0.567,10.77
"189","Africa","Somalia",1593.386,NA,NA,5.3
"190","Africa","South Africa",60225.763,12294.876,0.709,27.8
"191","","South America",114320.185,NA,NA,68.05
"192","Asia","South Korea",18217.574,35938.374,0.916,85.87
"193","Africa","South Sudan",1477.853,1569.888,0.433,2.18
"194","Europe","Spain",218198.095,34272.36,0.904,81.96
"195","Asia","Sri Lanka",28592.373,11669.077,0.782,64.93
"196","Africa","Sudan",1310.952,4466.507,0.51,3.2
"197","South America","Suriname",126492.486,13767.119,0.738,39.41
"198","Europe","Sweden",222403.606,46949.283,0.945,73.97
"199","Europe","Switzerland",267479.158,57410.166,0.955,68
"200","Asia","Syria",2826.485,NA,0.567,5.1
"201","Asia","Taiwan",794.718,NA,NA,73.12
"202","Asia","Tajikistan",1818.429,2896.913,0.668,38.56
"203","Africa","Tanzania",540.339,2683.304,0.529,2.79
"204","Asia","Thailand",35391.024,16277.671,0.777,69.12
"205","Asia","Timor",15014.045,6570.102,0.606,42.01
"206","Africa","Togo",4311.035,1429.813,0.515,12.68
"207","Oceania","Tonga",56.201,5425.621,0.725,60.59
"208","North America","Trinidad and Tobago",80746.116,28763.071,0.796,49.39
"209","Africa","Tunisia",77924.631,10849.297,0.74,52.47
"210","Asia","Turkey",140408.171,25129.341,0.82,61.69
"211","North America","Turks and Caicos Islands",147096.314,NA,NA,NA
"212","Africa","Uganda",3438.813,1697.707,0.544,4.28
"213","Europe","Ukraine",100392.755,7894.393,0.779,33.97
"214","Asia","United Arab Emirates",85229.699,67293.483,0.89,93.45
"215","Europe","United Kingdom",258789.486,39753.244,0.932,71.1
"216","North America","United States",228172.321,54225.446,0.926,63.72
"217","","Upper middle income",41677.532,NA,NA,74.6
"218","South America","Uruguay",200998.694,20551.409,0.817,77.3
"219","Asia","Uzbekistan",6660.701,6253.104,0.72,NA
"220","Oceania","Vanuatu",22.26,2921.909,0.609,22.03
"221","Europe","Vatican",35714.286,NA,NA,NA
"222","South America","Venezuela",17105.623,16745.022,0.711,47.62
"223","Asia","Vietnam",23470.739,6171.884,0.704,73.29
"224","Oceania","Wallis and Futuna",40923.021,NA,NA,55.31
"225","","World",49273.644,15469.207,0.737,52.04
"226","Asia","Yemen",365.522,1479.147,0.47,1.13
"227","Africa","Zambia",16191.14,3689.251,0.584,NA
"228","Africa","Zimbabwe",15250.954,1899.775,0.571,21.96
